Line      repl    LeafLmm    LeafWmm    Stolonthickmm    StolonLcm    StolonDens    LeafAmm
DSsmall     1     15.03      12.75      1.75             6.6           52.536       150.4315125
DSsmall     2     16.05      14.4       1.7              21.1         167.956       181.4292
DSsmall     3     14.6       14         1.65             18.4         146.464       160.454
DSsmall     4     16.15      13.95      1.9               5.6          44.576       176.8546125
DSsmall     5     14.5       16.45      1.4              15.6         124.176       187.242125
DSsmallmed  1     22.5       24.35      1.8              26           206.96        430.081875
DSsmallmed  2     21.6       23.15      2                21.8         173.528       392.5314
DSsmallmed  3     20.25      20.7       2.2              17           135.32        329.052375
DSsmallmed  4     17.9       20.15      2.05             14.4         114.624       283.137725
DSsmallmed  5     20.4       19.2       2.05              7.2          57.312       307.4688
DSmedlarge  1     28.5       28.5       2.35             27.9         222.084       637.61625
DSmedlarge  2     26.8       27.45      2.2              21.5         171.14        577.4931
DSmedlarge  3     24.45      25.6       2.9              11.4          90.744       491.3472
DSmedlarge  4     30.05      26         1.8               8.7          69.252       613.3205
DSmedlarge  5     23.55      22.8       2.35             26           206.96        421.4979
DSmed       1     24         21.85      3                 9.2          73.232       411.654
DSmed       2     23.45      23.85      2.3              20.9         166.364       439.0367625
DSmed       3     24.05      20.75      1.95             18.3         145.668       391.7444375
DSmed       4     23.9       20.3       1.8              23.8         189.448       380.85845
DSmed       5     22.35      21.3       2.85             14.4         114.624       373.703175
DSlarge     1     24.2       23.85      3.05             22.3         177.508       453.07845
DSlarge     2     22.45      26.35      2.45             15.7         124.972       464.3726375
DSlarge     3     23.2       19.5       2.5              28.9         230.044       355.134
DSlarge     4     25.25      26.1       2.4              16.7         132.932       517.334625
DSlarge     5     22.55      23.95      2.4               4.1          32.636       423.9569125
TR41-9      1     20         18.55      2.1              31.8         253.128       291.235
TR41-9      2     20.35      18.85      2.15             60.1         478.396       301.1240375
TR41-9      3     22.55      22.75      2.15             19.9         158.404       402.7148125
TR41-9      4     22.55      18         2.05             30.8         245.168       318.6315
TR41-9      5     23.45      20.95      2.15             43.9         349.444       385.6528375
TR41-19     1     20         20.8       2.3              36.9         293.724       326.56
TR41-19     2     20.8       18.5       2.05             20.8         165.568       302.068
TR41-19     3     21.95      19.9       1.95             37.8         300.888       342.891925
TR41-19     4     19.9       17.45      2                37.1         295.316       272.595175
TR41-19     5     18.7       20.15      2.35             37.9         301.684       295.791925
TR41-11     1     24.5       23.8       1.8              14.1         112.236       457.7335
TR41-11     2     25.1       23.35      2.15             26.3         209.348       460.076725
TR41-11     3     22         22.8       2.9              16.4         130.544       393.756
TR41-11     4     25.25      25.05      2.95             31           246.76        496.5223125
TR41-11     5     21.65      21.15      3.35             38.7         308.052       359.4495375
TR41-13     1     17.15      20.6       1.95             24.4         194.224       277.33265
TR41-13     2     21.7       20.65      1.95             38.8         308.848       351.762425
TR41-13     3     19.95      17.55      1.8              37.7         300.092       274.8461625
TR41-13     4     20.7       20.05      2.05             16.2         128.952       325.802475
TR41-13     5     20.25      17.95      2.1              34.2         272.232       285.3376875
TR41-25     1     22.1       20.75      1.95             59.6         474.416       359.981375
TR41-25     2     20         20.4       2.2              36.9         293.724       320.28
TR41-25     3     20         21.8       2.1              46.6         370.936       342.26
TR41-25     4     18.45      14.3       1.95             10            79.6         207.110475
TR41-25     5     20.4       20.25      1.8              13.8         109.848       324.2835
NE-738      1     24.5       20.85      1.6              16.3         129.748       400.997625
NE-738      2     24.2       21.15      2.05             17.5         139.3         401.78655
NE-738      3     20.85      19.4       1.45              6.1          48.556       317.52465
NE-738      4     22.75      20.55      1.85             31.7         252.332       366.9973125
NE-738      5     19.1       16.5       1.55              3            23.88        247.39275
NE-764      1     27.25      25.05      1.65             29.9         238.004       535.8508125
NE-764      2     19.95      15.2       2.2              12.7         101.092       238.0434
NE-764      3     22.55      18.95      1.95             30.8         245.168       335.4481625
NE-764      4     22.85      18.15      1.95             27.7         220.492       325.5610875
NE-764      5     21.3       18.5       1.8              21.1         167.956       309.32925
