ppm    velocity    group
0.02     76        T
0.02     47        T
0.02     67        U
0.02     51        U
0.06     97        T
0.06    107        T
0.06     84        U
0.06     85        U
0.11    123        T
0.11    139        T
0.11     98        U
0.11    115        U
0.22    159        T
0.22    152        T
0.22    131        U
0.22    124        U
0.56    191        T
0.56    201        T
0.56    144        U
0.56    158        U
1.10    207        T
1.10    200        T
1.10    160        U
