 Site Repl  Distance   forb     weed
 6    1         0        1       20
 6    1         5       15        4
 6    1        10        4        0
 6    1        20       25        1
 6    1        30        7        0
 6    1        50       40       25
 6    2         0       20       28
 6    2         5        0       11
 6    2        10       30        1
 6    2        20       10        2
 6    2        30       20        3
 6    2        50        1        1
 6    3         0       40       21
 6    3         5        2        2
 6    3        10       18        5
 6    3        20        1       18
 6    3        30       35       50
 6    3        50        0        0
 6    4         0        1       25
 6    4         5       15        4
 6    4        10       25        6
 6    4        20       55        2
 6    4        30       60        4
 6    4        50       45        9
 7    1         0        3       13
 7    1         5        0       20
 7    1        10        0       13
 7    1        20        0       15
 7    1        30        0       10
 7    1        50        0       10
 7    2         0        3       20
 7    2         5        0       22
 7    2        10        0       26
 7    2        20        2       32
 7    2        30        2       30
 7    2        50        0        7
 7    3         0        4       19
 7    3         5        0       30
 7    3        10        1       29
 7    3        20        0       13
 7    3        30        0       23
 7    3        50        4       22
 7    4         0        0       11
 7    4         5        0       17
 7    4        10        0       14
 7    4        20        2        2
 7    4        30        0       13
 7    4        50        0       12
 8    1         0        1       29
 8    1         5        0        8
 8    1        10        0       17
 8    1        20        0        6
 8    1        30        0       11
 8    1        50        0       15
 8    2         0        1       24
 8    2         5        0       13
 8    2        10        0       24
 8    2        20        0        6
 8    2        30        0        6
 8    2        50        0        5
 8    3         0        0       38
 8    3         5        0       21
 8    3        10        0       27
 8    3        20        0       11
 8    3        30        0        6
 8    3        50        0        3
 8    4         0        0       12
 8    4         5        0        6
 8    4        10        0        8
 8    4        20        2       10
 8    4        30        0        1
 8    4        50        0        8
 9    1         0        8       16
 9    1         5        2       20
 9    1        10        0       15
 9    1        20        5        6
 9    1        30        8       40
 9    1        50        8       10
 9    2         0       12       26
 9    2         5        0       13
 9    2        10       12       16
 9    2        20        0       30
 9    2        30        4       36
 9    2        50        3       26
 9    3         0        5       33
 9    3         5        8       40
 9    3        10       12       15
 9    3        20        0       10
 9    3        30        6       35
 9    3        50        4       26
 9    4         0        6       22
 9    4         5       10       16
 9    4        10        3       17
 9    4        20        0       30
 9    4        30        8       30
 9    4        50        8       20
10    1         0        6       17
10    1         5        6       37
10    1        10        5       13
10    1        20        5       26
10    1        30        1       42
10    1        50        2       40
10    2         0        5       16
10    2         5        2       28
10    2        10        1       30
10    2        20        0       12
10    2        30        1        8
10    2        50        0        1
10    3         0        2       26
10    3         5        0       20
10    3        10        0       34
10    3        20       12       26
10    3        30        2       30
10    3        50        3       18
10    4         0        0       35
10    4         5        0       41
10    4        10        0        6
10    4        20        0        8
10    4        30        0        7
10    4        50        1       26
11    1         0        4       30
11    1         5        0        0
11    1        10        0       51
11    1        20        0       11
11    1        30        0       36
11    1        50        0       12
11    2         0        0        7
11    2         5        0       10
11    2        10        0       14
11    2        20        0        2
11    2        30        0        4
11    2        50        0        8
11    3         0        0        2
11    3         5        0        3
11    3        10        0        3
11    3        20        0        9
11    3        30        0        0
11    3        50        0        3
11    4         0        0        9
11    4         5        0       22
11    4        10        0       26
11    4        20        0       10
11    4        30        0       12
11    4        50        1       30
