Cases        Town         Age          Population
  1          StP         15-24         172675
 16          StP         25-34         123065
 30          StP         35-44         96216
 71          StP         45-54         92051
102          StP         55-64         72159
130          StP         65-74         54722
133          StP         75-84         32185
 40          StP         85+           8328
  4          FW          15-24         181343
 38          FW          25-34         146207
119          FW          35-44         121374
221          FW          45-54         111353
259          FW          55-64         83004
310          FW          65-74         55932
 65          FW          85+           7583
