SUBNO,TRT,INTC1C5,INTC2,INTC3,INTC4,AET1,AET2,AET3,AET4,AET5,UET1,UET2,UET3,UET4,UET5,AHT1,AHT2,AHT3,AHT4,AHT5,UHT1,UHT2,UHT3,UHT4,UHT5,ASC1,ASC2,ASC3,ASC4,ASC5,USC1,USC2,USC3,USC4,USC5,EF1,EF2,EF3,EF4,EF5,HF1,HF2,HF3,HF4,HF5
1,bl,0,0,0,0,1794.17,1824.46,1744.77,1709.84,1766.93,1758.25,1726.31,1716.7,1703.66,1724.97,1884.2,1911.11,1844.66,1767.84,1908.98,1922.17,1878.66,1898.76,1825.26,1885.42,98.28,105.74,91.47,51.05,111.49,104.3,102,82.81,41.2,118.9,208.15,287.69,192.1,251.1,190.54,801.04,585.03,672.64,577.16,688.54
1,t1,2,2,2,2,1758.69,1797.53,1731.05,1704.24,1749.75,1758.21,1726.06,1706.61,1687.82,1738.69,1799.43,1867.53,1842.37,1688.6,1874.86,1913.68,1861.76,1846.86,1809.3,1882.56,276.48,180.43,178.15,75.81,117.29,314.31,156.23,217.39,69.21,128.41,206.68,157.01,280.17,94.23,97.61,693.27,588.01,657.83,565.11,647.64
1,r1,2.5,2.5,3,3,1750.03,1773.67,1722.93,1698.75,1737.37,1754.81,1727.01,1700.8,1685.51,1735.9,1783.82,1850.47,1845.93,1720.33,1860.35,1912.48,1858.19,1840.85,1822.53,1869.76,243.61,205.85,178.99,73.55,126.78,248.27,163.26,193.84,66.67,132.75,184.38,237.66,174.82,227.24,165.68,755.52,518.03,601.38,554.43,686.93
1,t2,3.5,3.5,4,4,1740.34,1765.27,1724.72,1686.85,1735.41,1759.84,1728.09,1695.32,1680.28,1740.29,1756.92,1835.86,1838.67,1712.25,1851.28,1923.49,1866.69,1821.73,1825,1873.41,299.37,235.99,202.23,77.37,143.12,329.69,185.61,217.82,70.16,142.55,321.47,216.36,311.38,79.3,146.36,747.8,587.46,676.09,592.94,723.45
1,r2,4,4,5,5,1746.36,1756.4,1723.22,1689.35,1732.65,1757.3,1726.09,1689.99,1677.64,1733.45,1760.25,1843.86,1849.29,1721.16,1849.2,1925.11,1875.61,1862.41,1823.7,1864.62,227.05,204.95,171.89,72.5,151.73,234.21,160.76,173.41,66.86,142.94,172.82,188.9,177.65,193.44,165.79,761.65,570.83,626.1,578.7,636.13
1,t3,5,5,6,6,1739.41,1761.3,1709.79,1690.52,1721.29,1755.7,1725.9,1685.66,1675.68,1735.28,1748.24,1834.52,1841.05,1679.21,1842.65,1934.07,1879.86,1834.13,1828.1,1868.13,246.48,273.08,207.91,82.48,157.82,285.43,206.37,207.03,74.32,147.2,403.52,293.52,227.88,91.7,114.85,856.81,563.72,668.56,611.96,696.55
1,r3,5.5,5.5,7,7,1761.46,1744.47,1708.16,1677.96,1744.1,1749.4,1725.31,1667.84,1671.41,1732.54,1849.52,1839.24,1860.38,1704.13,1884.96,1937.21,1880.72,1856.15,1824.65,1873.57,231.88,249.78,188.01,69.19,164.33,233.48,200.72,182.92,61.34,148.96,211.01,182.85,216.38,191.94,217.13,810.78,528.64,620.48,528.83,676.37
1,t4,NA,6.5,NA,8,NA,1745.75,NA,1674.63,NA,NA,1725.64,NA,1669.21,NA,NA,1836.12,NA,1697.52,NA,NA,1888.32,NA,1818.2,NA,NA,304.79,NA,70.65,NA,NA,237.56,NA,60.45,NA,NA,268.96,NA,81.75,NA,NA,574.89,NA,618.74,NA
1,r4,NA,7,NA,9,NA,1735.68,NA,1669.89,NA,NA,1723.62,NA,1665.52,NA,NA,1844.14,NA,1704.69,NA,NA,1889.42,NA,1821.52,NA,NA,269.46,NA,70.49,NA,NA,209.97,NA,59.06,NA,NA,179.55,NA,219.91,NA,NA,554.62,NA,569.04,NA
1,t5,NA,8,NA,10,NA,1740.31,NA,1671.08,NA,NA,1724.19,NA,1662.41,NA,NA,1840.79,NA,1707.24,NA,NA,1892.29,NA,1824.07,NA,NA,300.05,NA,71.13,NA,NA,232.77,NA,59.87,NA,NA,344.13,NA,81.1,NA,NA,608.59,NA,623.84,NA
