group  X     Y
1   8.9   8.9
1  10.4  11.1
1  14.1  14.4
1  15.6  15.2
1   8.9  10.0
1  14.4  17.0
1  16.7  20.8
1   7.0   9.2
1   7.0   6.6
1   8.1   9.2
1  12.6  11.5
1  19.3  19.3
1  10.0  14.1
1  15.6  16.7
2   8.5   6.6
2  12.2  11.8
2  14.4  12.2
2  13.3  13.0
2   6.6   7.0
2  10.4  10.4
2  15.9  15.2
2  13.7  13.7
2  11.1  12.2
2  18.2  14.4
2  13.7  14.1
2  14.8  15.2
2  13.3  14.1
2  15.2  13.3
3  10.0  13.0
3  10.0  11.5
3  16.3  20.4
3  14.1  15.9
3  11.8  16.3
3  11.8  10.4
3   8.9  12.2
3   4.8   4.8
3  14.4  14.4
3  19.3  21.5
3   6.3   6.6
3   7.4   6.3
3  18.2  15.2
3  10.7   9.2
4  10.0  10.4
4  16.3  14.8
4  14.4  12.6
4  10.0  10.0
4  21.9  17.4
4  13.3  11.1
4   7.0   8.9
4  12.6  10.4
4   8.1   7.8
4  10.4  10.4
4  14.4  14.4
4  10.7   9.6
4  20.4  17.0
4  18.2  15.6
